EXPID,REFID,RYEAR,RTYPE,RJRNL,RAUTHOR,RTITLE,RPUBLISHER,RPUBDATE,RLANGUAGE,RCITATION,RYAK94,RNOTES
CHOY83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:243 (1984),,
CHOL83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:243 (1984),,
NUMB83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:244 (1984),,
NUMB83401,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:244 (1984),,
CHOB83301,01,1983,2.0,AAJ,,,,,,58:244 (1984),,
GAUR83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:244 (1984),,
GAUR83102,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:244 (1984),,
GAUR83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:245 (1984),,
LANR83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:245 (1984),,
LANG83101,01,1983,2.0,AAJ,"Harwood, Robert M.",,,,,58:245 (1984),,
GAN383301,01,1983,2.0,AAJ,"Nyka, Jozef",,,,,58:245 (1984),,
CHMN83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:246 (1984),,
HIME83101,01,1983,2.0,AAJ,"Nyka, Jozef",,,,,58:246-247 (1984),,
HIME83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:247 (1984),,
MANA83101,01,1983,2.0,AAJ,"Savenc, Franci",,,,,58:247 (1984),,
MANA83303,01,1983,2.0,AAJ,,,,,,58:247-248 (1984),,
MANA83302,01,1983,2.0,AAJ,Huh Young-Ho,,,,,58:248 (1984),,
MANA83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:248 (1984),,
MANA83401,01,1983,2.0,AAJ,"Burgess, Adrian",,,,,58:248-249 (1984),,
MANA83402,01,1983,2.0,AAJ,"Korniszewski, Lech",,,,,58:249-250 (1984),,
MANN83101,01,1983,2.0,AAJ,"Keelan, Douglas",,,,,58:250 (1984),,
NEMJ83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:251 (1984),,
NEMJ83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:251 (1984),,
KGUR83101,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:251 (1984),,
KGUR83301,01,1983,2.0,AAJ,"Cheney, Michael J. & Hawley, Elizabeth",,,,,58:251 (1984),,
KGUR83401,01,1983,2.0,AAJ,"Guha, Kamal K.",,,,,58:251-252 (1984),,
BHRI82101,02,1982,2.0,AAJ,"Nyka, Jozef",,,,,58:252 (1984),,
BHRI82301,02,1982,2.0,AAJ,"Nyka, Jozef",,,,,58:252 (1984),,
